"Time (s)";"Acceleration (m/s²)"
0.000000000E0;1.420078182E-2
4.034500000E-2;2.070849895E-2
8.068899999E-2;-1.276768774E-2
1.210640000E-1;2.463870496E-3
1.614080000E-1;3.365467295E-2
2.017520000E-1;5.294946134E-3
2.420960000E-1;-1.002665922E-2
2.824400000E-1;8.925336152E-3
3.228150000E-1;6.346874848E-2
3.631590000E-1;-2.917541340E-2
4.035040000E-1;-1.324686706E-3
4.438480000E-1;-2.259364128E-3
4.841920000E-1;1.965351507E-2
5.245670000E-1;2.451883703E-3
5.649110000E-1;-1.424337879E-2
6.052550000E-1;3.732994035E-2
6.456000000E-1;2.793916583E-2
6.859440000E-1;-2.068598717E-3
7.262880000E-1;-2.926326782E-2
7.666630000E-1;2.160356149E-2
8.070070000E-1;1.851930141E-2
8.473510000E-1;-2.748936877E-2
8.876960000E-1;7.470022649E-2
9.280241250E-1;-4.407441124E-2
9.683991250E-1;1.777041927E-2
1.008743125E0;2.082135022E-2
1.049087125E0;-4.887833744E-3
1.089431125E0;-4.007403865E-2
1.129776125E0;5.940391034E-2
1.170150125E0;3.086394310E-2
1.210495125E0;-6.338308677E-2
1.250839125E0;5.623895869E-2
1.291183125E0;-6.788982823E-2
1.331527125E0;4.315639839E-2
1.371871125E0;2.831221819E-3
1.412246125E0;4.510249794E-3
1.452590125E0;2.831879631E-2
1.492935125E0;-1.500307828E-2
1.533279125E0;4.017475694E-2
1.573623125E0;-5.891566783E-2
1.613998125E0;4.503467023E-2
1.654342125E0;4.221982062E-3
1.694686125E0;-7.433126718E-3
1.735031125E0;1.100007445E-2
1.775375125E0;6.642436981E-3
1.815750125E0;-9.176035523E-3
1.856094125E0;2.192077294E-2
1.896438125E0;1.650084257E-2
1.936786500E0;-5.161921978E-3
1.977131500E0;-1.109874621E-2
2.017475500E0;2.433523446E-2
2.057850500E0;9.875216335E-3
2.098194500E0;-8.548629284E-4
2.138538500E0;4.745161682E-3
2.178882500E0;4.756417572E-3
2.219227500E0;1.077276394E-2
2.259601500E0;-3.559638709E-3
2.299946500E0;8.182593584E-3
2.340290500E0;-4.660084695E-3
2.380634500E0;1.515130520E-2
2.420978500E0;-1.291386813E-2
2.461353500E0;1.157821789E-2
2.501697500E0;-9.962193668E-4
2.542042500E0;3.484209627E-3
2.582386500E0;1.006203488E-2
2.622730500E0;-7.160938829E-3
2.663074500E0;1.264168024E-3
2.703449500E0;4.713148177E-3
2.743793500E0;5.873381943E-3
2.784137500E0;-4.494754672E-3
2.824482500E0;-3.470322490E-4
2.864826500E0;1.135207683E-2
2.905201500E0;4.940166324E-3
2.945549500E0;3.835627288E-3
2.985893500E0;5.094094276E-3
3.026237500E0;5.069243610E-3
3.066582500E0;1.503860012E-2
3.106926500E0;1.556996584E-2
3.147301500E0;2.296932489E-2
3.187645500E0;2.232656971E-2
3.227989500E0;2.135870934E-2
3.268333500E0;3.036400616E-2
3.308678500E0;4.098240361E-2
3.349052500E0;3.748693809E-2
3.389397500E0;4.260398269E-2
3.429741500E0;4.455563709E-2
3.470085500E0;4.066022202E-2
3.510429500E0;5.223010764E-2
3.550804500E0;5.403806672E-2
3.591148500E0;4.892979294E-2
3.631493500E0;4.944741771E-2
3.671837500E0;6.815865397E-2
3.712181500E0;5.283061668E-2
