"Time (s)";"Pressure (hPa)";"Height (m)";"Time (velocity) (s)";"Velocity (m/s)"
0.000000000E0;9.449266815E2;0.000000000E0;5.104675000E-1;-1.125772513E-1
1.020935000E0;9.449397278E2;-1.149340560E-1;1.531360000E0;-7.308187231E-2
2.041785000E0;9.449481964E2;-1.895396854E-1;2.552149000E0;-5.596992624E-2
3.062513000E0;9.449546814E2;-2.466697562E-1;3.572885000E0;0.000000000E0
4.083257000E0;9.449546814E2;-2.466697562E-1;4.633182500E0;3.556657318E-1
5.183108000E0;9.449102783E2;1.445095546E-1;6.128293500E0;4.455361713E-1
7.073479000E0;9.448146820E2;9.867382123E-1;8.018573500E0;8.471631972E-1
8.963668000E0;9.446329498E2;2.588036769E0;9.908633000E0;9.384927352E-1
1.085359800E1;9.444316864E2;4.361722344E0;1.179878750E1;9.494605214E-1
1.274397700E1;9.442280579E2;6.156562575E0;1.368917850E1;9.843073305E-1
1.463438000E1;9.440169907E2;8.017300105E0;1.557943000E1;1.028603226E0
1.652448000E1;9.437965012E2;9.961463063E0;1.746942550E1;1.020188166E0
1.841437100E1;9.435778809E2;1.188950750E1;1.935946250E1;9.773157170E-1
2.030455400E1;9.433684540E2;1.373681305E1;2.124965950E1;9.605609891E-1
2.219476500E1;9.431626511E2;1.555247600E1;2.313986300E1;9.685745332E-1
2.408496100E1;9.429551697E2;1.738327171E1;2.502999150E1;9.907275509E-1
2.597502200E1;9.427429962E2;1.925580721E1;2.692010350E1;8.438718030E-1
2.786518500E1;9.425622940E2;2.085086247E1;2.881027800E1;4.840725824E-1
2.975537100E1;9.424586487E2;2.176584969E1;3.070048200E1;1.142074677E-1
3.164559300E1;9.424341965E2;2.198172716E1;3.259058750E1;-1.603751285E-3
3.353558200E1;9.424345398E2;2.197869609E1;"";""
